카테고리,Lag,n,r,p
거시경제/금융정책,0,12,0.58,0.0479
거시경제/금융정책,1,11,-0.282,0.4011
거시경제/금융정책,2,10,0.139,0.7009
거시경제/금융정책,3,9,0.433,0.244
경제이론/학술,0,12,-0.21,0.5121
경제이론/학술,1,11,0.528,0.0947
경제이론/학술,2,10,0.024,0.9468
경제이론/학술,3,9,-0.126,0.7476
금융시스템/위기,0,12,-0.151,0.6397
금융시스템/위기,1,11,-0.05,0.8837
금융시스템/위기,2,10,0.061,0.8675
금융시스템/위기,3,9,-0.1,0.7971
기업경영/리더십,0,12,-0.294,0.3533
기업경영/리더십,1,11,-0.219,0.5183
기업경영/리더십,2,10,0.236,0.5109
기업경영/리더십,3,9,-0.567,0.1116
부동산/실물자산,0,12,-0.09,0.7819
부동산/실물자산,1,11,0.397,0.2273
부동산/실물자산,2,10,0.014,0.9701
부동산/실물자산,3,9,0.168,0.6651
재테크/개인금융,0,12,0.58,0.0479
재테크/개인금융,1,11,-0.218,0.5192
재테크/개인금융,2,10,-0.103,0.777
재테크/개인금융,3,9,-0.183,0.6368
주식투자/트레이딩,0,12,0.441,0.1517
주식투자/트레이딩,1,11,0.7,0.0165
주식투자/트레이딩,2,10,-0.03,0.9338
주식투자/트레이딩,3,9,-0.433,0.244
지정학/국제정세,0,12,-0.022,0.9465
지정학/국제정세,1,11,0.21,0.5359
지정학/국제정세,2,10,-0.381,0.2768
지정학/국제정세,3,9,0.219,0.5711
테크/스타트업,0,12,-0.301,0.3423
테크/스타트업,1,11,0.164,0.6307
테크/스타트업,2,10,-0.176,0.6272
테크/스타트업,3,9,-0.317,0.4064
투자철학/대가,0,12,-0.168,0.6015
투자철학/대가,1,11,-0.328,0.3247
투자철학/대가,2,10,-0.073,0.8413
투자철학/대가,3,9,0.151,0.6989
